word_fr;word_en;phrase_fr;phrase_en
le;"pro the; him, her, it, them"; vive la politique, vive l'amour ; long live politics, long live love 
de;prep of, from, some, any; il ne rêve que d'argent et de plaisirs ; he only dreams of money and pleasure 
un;det, nm, pro a, an, one; je me suis cassé un ongle ; I broke one of my fingernails 
à;to, at, in; ils restent à l'école le plus longtemps possible ; they remain at school as long as possible 
être;"to be; being"; tout le monde veut être beau ; everybody wants to be beautiful 
et;and; et les larmes se remirent à couler ; and the tears started flowing again 
en;in, by; je suis retournée en Espagne en septembre ; I returned to Spain in September 
avoir;to have; on était six donc tu peux pas avoir une conversation ; there were six of us so you can't have a conversation
que;that, which, who, whom; c'est un soldat. mais que fait-il ici? ; it's a soldier. but what's he doing here? 
pour;for, in order to; elle jouait pour gagner ; she played to win 
dans;in, into, from; je reviendrai dans dix minutes ;I will return in 10 minutes
ce;this, that; je ne déteste pas cet homme ; I do not detest this man 
il;he, it; allez voir s'il est blessé ; go see if he is injured 
qui;who, whom; je ne sais pas à qui m'adresser ; I don't know who to talk to 
ne;not; nous ne faisons pas du très bon travail ; we are not doing very good work 
sur;on, upon; t'avais une chance sur un million ; you had one chance in a million 
se;oneself, himself, herself, itself, themselves; avec ce traité, le Japon se rapproche des Etats-Unis ; with this treaty, Japan brings itself closer to the U.S.
pas;"not, n't; footstep"; non, ne touchez pas! ; no, don't touch it! 
plus;more, no more; il est considérablement plus jeune que moi ; he's considerably younger than I am 
pouvoir;can, to be able to; tu peux jouer de la guitare électrique ; you can play electric guitar 
par;by; il s'y trouvait par hasard ; he found himself there by accident 
je;I; je suis contente de vous revoir ; I am happy to see you again 
avec;with; vous voulez aller au ciné avec moi? ; do you want to go to a movie with me? 
tout;all, very; comme vous voyez, tout est propre ; as you see, everything is clean 
faire;to do, make; qu'est-ce qu'il fait? ; what's he doing? 
son;"his, her, its; sound; bran"; un ami ingénieur du son m'aide pour les arrangements ; a sound engineer friend of mine helped me with the arrangements
mettre;to put, place; je peux me mettre à votre table? ; may I sit at your table? 
autre;other; il y a un autre problème ; there's another problem 
on;one, we; on tire et on pose les questions ensuite ; we shoot first and ask questions later 
mais;but; je ne suis pas riche, mais je connais la vérité ; I'm not rich, but I know the truth 
nous;we, us; nous devons nous défendre nous-mêmes ; we must defend ourselves 
comme;like, as; Tony et moi, on est comme des frères ; Tony and I, we're like brothers 
ou;or; il en reste du café ou pas? ; is there some coffee left or not? 
si;if, whether; aujourd'hui, notre économie va si mal ; today our economy is going so poorly 
leur;them, their, theirs; l'énergie solaire assurait leur survie ; solar energy assured their survival 
y;there; c'est certain qu'on va y aller ; it's for certain that we'll be going there 
dire;to say; je décrochais le téléphone sans rien dire à personne ; I picked up the telephone receiver without saying anything to anyone
elle;she, her; j'étais fou amoureux. elle m'aimait bien ; I was head-over-heels in love. she loved me a lot 
devoir;"to have to, owe; duty"; je dois travailler sans la moindre entrave ; I must work without the least bit of hindrance 
avant;before; tu vas te pencher en avant ; you're going to lean forward 
deux;two; il prend le train deux fois par semaine pour affaires ; he takes the train on business twice per week
même;same, even, self; ils ne s'excusent même pas ; they don't even excuse themselves 
prendre;to take; elle lui prit la main ; she took him by the hand 
aussi;too, also, as; je rêvais aussi de beaucoup voyager ; I also dreamed of traveling a lot 
celui;that, the one, he, him; tu es celui que je respecte le plus ; you're the one I respect the most 
donner;to give; j'aurais donné ma vie pour lui ; I would have given my life for him 
bien;i,adv,nm well; tout va bien maintenant ; everything's going well now 
où;where; on ne dit pas où il vit ; they aren't saying where he lives 
fois;time, times; lève la main une fois ; raise your hand one time 
vous;you; ici, vous avez une personnalité publique ; here, you are a public personality 
encore;again, yet; tu as encore menti à ta femme ; you lied once again to your wife 
nouveau;new; il a construit une nouvelle vie ici ; he made a new life for himself here 
aller;to go; tu devrais aller te coucher, tu as l'air vanné ; you should go to bed, you look wiped out 
cela;that, it; cela demande de l'intégrité et du courage ; that requires integrity and courage 
entre;between; je marche entre les maisons ; I'm walking between the houses 
premier;first; est-elle la première épouse, la deuxième? ; is she the first wife, the second one? 
vouloir;to want; tu veux faire ton chemin. c'est bien ; you want to continue on your way. that's OK 
déjà;already; les rues étaient déjà pleines de monde ; the streets were already full of people 
grand;great, big, tall; tu es plus grand que je pensais ; you're taller than I thought 
mon;my; t'aurais pu rencontrer mon copain ; you could've met my buddy 
me;me, to me, myself; reviens me voir dans cinq ou six ans ; come back to see me in five or six years 
moins;less; il avait moins d'excuses encore que ses complices ; he had even less excuses than his accomplices did
aucun;none, either, neither, not any; trop d'argent et aucun goût ; too much money and no taste 
lui;him, her; mais j'ai confiance qu'en lui ; but I have confidence in him 
temps;time; sur le plan spirituel, le temps n'existe pas ; on the spiritual level, time does not exist 
très;very; j'ai été bonne? très, très bonne ; was I good? very, very good 
savoir;to know; je ne savais plus quoi dire ; I didn't know what to say any more 
falloir;to take, require, need; il ne faut pas être raciste, point ; there's no need to be a racist, at all 
voir;to see; je tenais seulement à te voir pour te dire ... bonne chance ; I just wanted to see you to say ... good luck
quelque;some; il restera pour quelques mois ; he will stay for a few months 
sans;without; je fais plus jeune sans maquillage ; I look younger without makeup 
raison;reason; elle a raison, tu sais ; she's right, you know 
notre;our; notre ville a le sens de la communauté ; our city has a sense of community 
dont;whose, of which; on a tout ce dont tu rêvais en ville ; everything you dreamed about is available in town 
non;no, not; non, je ne peux pas parler maintenant ; no, I can't talk now 
an;year; j'avais un an à la mort de mon père ; I was one year old when my father died 
monde;world, people; notre ultime but est de reconstruire le monde ; our ultimate goal is to remake the world 
jour;day; un jour, je retrouverais mes vrais parents ; one day, I would find my real parents 
monsieur;mister, sir, gentleman; comment allez-vous , monsieur? ; how are you, sir? 
demander;to ask for; j'ai un service à vous demander ; I would like to ask you to do something for me 
alors;then, so; et alors? vous revenez quand? ; so? when are you coming back ? 
après;after; il a succombé à ses blessures peu après ; he shortly thereafter succumbed to his wounds 
trouver;to find; j'ai trouvé du sang. sur le siège avant ; I found some blood. on the front seat 
personne;person, people, anybody, anyone, nobody; il ne parlait à personne en particulier ; he was speaking to nobody in particular 
